canonical_text	tradition	confidence	reviewed	note
Mahāvastu	buddhist	high	no	
Divyāvadāna	buddhist	high	no	
Lalitavistara	buddhist	high	no	
Mahāvyutpatti	buddhist	medium	no	Buddhist terminological lexicon
Gaṇḍavyūha	buddhist	high	no	
Saddharmapuṇḍarīka	buddhist	high	no	
Buddhist	buddhist	low	no	generic label
Śikṣāsamuccaya	buddhist	high	no	Śāntideva
Mūla-Sarvāstivāda-Vinaya; Gilgit Manuscripts	buddhist	high	no	
Kāraṇḍavyūha	buddhist	high	no	
Bodhisattvabhūmi	buddhist	high	no	
Avadāna-śataka	buddhist	high	no	
Mahā-Māyūrī	buddhist	high	no	Pañcarakṣā dhāraṇī
Laṅkāvatāra-sūtra	buddhist	high	no	
Daśabhūmikasūtra	buddhist	high	no	
Raghuvaṃśa	classical-kavya	high	no	
Indische Sprüche	classical-kavya	low	no	Böhtlingk modern subhāṣita anthology
Kathāsaritsāgara	classical-kavya	high	no	kathā
Pañcatantra	classical-kavya	high	no	nīti/fable
Śakuntalā	classical-kavya	high	no	drama
Śiśupālavadha	classical-kavya	high	no	
Kumārasambhava	classical-kavya	high	no	
Rājataraṅgiṇī	classical-kavya	medium	no	historical kāvya
Hitopadeśa	classical-kavya	high	no	nīti/fable
Bhaṭṭikāvya	classical-kavya	high	no	
Meghadūta	classical-kavya	high	no	
Kirātārjunīya	classical-kavya	high	no	
Daśakumāracarita	classical-kavya	high	no	
Uttararāmacarita	classical-kavya	high	no	drama
Raghuvanśa	classical-kavya	high	no	OCR variant of Raghuvaṃśa
Kādambarī	classical-kavya	high	no	
Mālatīmādhava	classical-kavya	high	no	drama
Mṛcchakaṭikā	classical-kavya	high	no	drama
Vikramorvaśī	classical-kavya	high	no	drama
Prabodhacandrodaya	classical-kavya	medium	no	allegorical drama
Mālavikāgnimitra	classical-kavya	high	no	drama
Gītagovinda	classical-kavya	high	no	
Bhartṛhari	classical-kavya	medium	no	śataka poet (vs grammarian namesake)
Naiṣadhacarita	classical-kavya	high	no	
Bhartṛhari's three Śatakas	classical-kavya	high	no	
Mudrārākṣasa	classical-kavya	high	no	drama
Bhāminīvilāsa	classical-kavya	high	no	
Amaruśataka	classical-kavya	high	no	
Bālarāmāyaṇa	classical-kavya	high	no	drama
Mahāvīracarita	classical-kavya	high	no	drama
Veṇīsaṃhāra	classical-kavya	high	no	drama
Mallinātha	classical-kavya	medium	no	kāvya commentator
ŚUKASAPTATI in LASSEN'S Anthologie	classical-kavya	low	no	Śukasaptati via modern anthology
Caurapañcāśikā	classical-kavya	high	no	
Ratnāvalī	classical-kavya	high	no	drama
Bhartṛihaṛiśataka [	classical-kavya	medium	no	garbled Bhartṛhari-śataka
Bhāminīivilāsa	classical-kavya	high	no	variant of Bhāminīvilāsa
Śṛṅgāratilaka	classical-kavya	medium	no	short kāvya (attrib. Kālidāsa)
Bhāṣāpariccheda	darsana	high	no	Nyāya (Viśvanātha)
Manusmṛti	dharma-sastra	high	no	
Āpastamba-Dharmasūtra	dharma-sastra	high	no	
Yājñavalkya	dharma-sastra	high	no	Yājñavalkyasmṛti
HEĀDRI'S K4ATURVARGAK4INTĀMAṆI	dharma-sastra	medium	no	OCR-garbled Hemādri Caturvargacintāmaṇi (nibandha)
Manusmṛiti	dharma-sastra	high	no	variant of Manusmṛti
Āpastamba	dharma-sastra	medium	no	dharma/śrauta sūtra
Kullūka	dharma-sastra	high	no	commentary on Manu
Gautama-Dharmasūtra	dharma-sastra	high	no	
Yājnyavalkyasmṛiti	dharma-sastra	high	no	variant of Yājñavalkyasmṛti
Mitākṣarā	dharma-sastra	high	no	commentary on Yājñavalkya
Dāyabhāga	dharma-sastra	high	no	
Mahābhārata	epic	high	no	
Rāmāyaṇa	epic	high	no	
Harivaṃśa	epic	high	no	MBh khila
Bhagavadgītā	epic	high	no	MBh; devotional-philosophical
Aṣṭādhyāyī (Pāṇini)	grammar-sastra	high	no	
Siddhāntakaumudi	grammar-sastra	high	no	
Gaṇaratnamahodadhi	grammar-sastra	high	no	Vardhamāna gaṇapāṭha
Bṛhatsaṃhitā	jyotisa	high	no	Varāhamihira astro/omen
Sūryasiddhānta	jyotisa	high	no	
Līlāvatī	jyotisa	medium	no	Bhāskara mathematics
Śabdakalpadruma	lexical-kosa	high	no	19th-c Skt encyclopaedic lexicon
Abhidhānacintāmaṇi	lexical-kosa	high	no	Hemacandra kośa
Amarakoṣa	lexical-kosa	high	no	
Medinīkośa	lexical-kosa	high	no	
Anekārthasaṃgraha	lexical-kosa	high	no	Hemacandra homonym kośa
Trikāṇḍaśeṣa	lexical-kosa	high	no	
Halāyudha	lexical-kosa	medium	no	Abhidhānaratnamālā lexicographer
Hemacandra	lexical-kosa	medium	no	Jain polymath; here usually his kośa
Suśruta	medical	high	no	āyurveda
Bhāvaprakāśa	medical	high	no	āyurveda
AUFRECHT	other	low	no	scholar / Catalogus Catalogorum, not a text
Bombay	other	low	no	edition place, not a text
my Sanskrit Chrestomathy	other	low	no	Benfey modern reader, not a text
GALANO's Wörterbuch	other	low	no	modern dictionary, not a text
Classified Index to the Sanskrit Mss	other	low	no	catalogue, not a text
Inscriptions	other	low	no	epigraphy, not a text
Boehtlingk and Roth	other	low	no	the PW dictionary itself, not a text
Sāhityadarpaṇa	poetics-sastra	high	no	alaṃkāra
Kāvyaprakāśa	poetics-sastra	high	no	alaṃkāra
Daśarūpa	poetics-sastra	high	no	dramaturgy
Śrutabodha	poetics-sastra	medium	no	chandas/prosody
Bhāgavata-Purāṇa	purana	high	no	
Mārkandeyapuraṇa	purana	high	no	
Viṣṇu Purāṇa	purana	high	no	
Bhāgavata	purana	high	no	Bhāgavata-Purāṇa
Śiva Purāṇa	purana	high	no	
Ṛgveda	vedic	high	no	
Śatapatha-Brāhmaṇa	vedic	high	no	
Atharvaveda	vedic	high	no	
Taittirīya Saṃhitā	vedic	high	no	
Vājasaneyi Saṃhitā	vedic	high	no	
Taittirīya Brāhmaṇa	vedic	high	no	
Kauśikasūtra	vedic	high	no	AV ritual sūtra
Chāndogyopaniṣad	vedic	high	no	upaniṣad
