dict,L,headword_slp1,parvan,cited_verse,adhyaya,shloka,vulgate,critical,verdict,critical_evidence,critical_score,bori_locus
PWG,7,aMSa,1,2523,65,15,present,present,present/present,quote-exact,1.0,"01,59.15c"
PWG,41,aMsay,1,197,1,243,present,present,present/present,quote-exact,1.0,"01,1.183a"
PWG,41,aMsay,3,11728,160,68,present,present,present/present,quote-exact,1.0,"03,157.61a"
PWG,194,akzamAlin,12,10374,286,8,present,present,present/present,quote-exact,1.0,"12,275.8a"
PWG,321,agastya,3,8805,,,unchecked,unchecked,unresolved-locus,locus-out-of-range,,
PWG,321,agastya,12,5389,142,23,present,present,present/present,quote-fuzzy,0.784,"12,140.22c"
PWG,327,agADa,18,157,5,10,present,present,present/present,quote-exact,1.0,"18,5.8a"
PWG,387,agnitretA,12,3410,91,8,present,absent,present/absent,none,0.588,"12,92.9c"
PWG,472,agnizwut,13,531,12,4,present,present,present/present,quote-fuzzy,0.816,"13,12.4c"
PWG,472,agnizwut,13,539,12,12,present,present,present/present,quote-exact,1.0,"13,12.11a"
PWG,490,agnihotra,3,4078,,,unchecked,unchecked,unresolved-locus,locus-out-of-range,,
PWG,613,aGoraGorarUpa,12,10375,286,9,present,present,present/present,quote-exact,1.0,"05,39.68a"
PWG,636,aNkay,3,14853,240,5,present,present,present/present,quote-exact,1.0,"03,229.5c"
PWG,669,aNga,1,4220,104,51,present,present,present/present,quote-exact,1.0,"01,98.30a"
PWG,669,aNga,1,4217,104,48,present,present,present/present,quote-exact,1.0,"01,98.27a"
PWG,669,aNga,12,981,29,88,present,present,present/present,quote-exact,1.0,"12,29.81c"
PWG,712,aNgAra,12,981,29,88,present,present,present/present,quote-exact,1.0,"12,29.81c"
PWG,713,aNgAraka,1,5331,133,1,present,present,present/present,quote-exact,0.889,"01,123.58a"
PWG,720,aNgAraparRa,1,6448,167,36,present,present,present/present,quote-exact,0.897,"01,155.34c"
PWG,739,aNgira,3,14224,222,17,present,present,present/present,quote-exact,1.0,"03,212.15c"
PWG,791,ac,1,7703,209,17,present,present,present/present,quote-exact,1.0,"01,201.16a"
PWG,858,acyuta,1,7770,211,24,present,present,present/present,quote-exact,0.929,"01,203.22c"
PWG,868,acyutasTala,8,2062,44,39,present,present,present/present,quote-exact,0.895,"08,30.42a"
PWG,955,ajAtaSatru,12,586,19,12,present,present,present/present,quote-fuzzy,0.824,"12,19.12a"
PWG,955,ajAtaSatru,12,603,20,3,present,present,present/present,quote-exact,1.0,"12,20.3a"
PWG,955,ajAtaSatru,12,698,24,2,present,present,present/present,quote-exact,1.0,"12,25.2c"
PWG,1052,aYj,2,2592,79,9,present,present,present/present,quote-exact,1.0,"02,70.9a"
PWG,1052,aYj,2,2122,64,2,present,present,present/present,quote-exact,0.959,"02,57.2a"
PWG,1052,aYj,3,15964,277,21,present,present,present/present,quote-exact,1.0,"03,261.21a"
PWG,1087,aw,1,1031,15,7,present,present,present/present,quote-exact,1.0,"01,13.41c"
PWG,1087,aw,1,3071,74,84,present,present,present/present,quote-exact,1.0,"01,69.3c"
PWG,1087,aw,3,1568,39,18,present,present,present/present,quote-exact,1.0,"03,40.17e"
PWG,1087,aw,3,1908,47,30,present,present,present/present,quote-exact,1.0,"03,45.35c"
PWG,1087,aw,3,13096,190,88,present,present,present/present,quote-exact,0.889,"03,188.84c"
PWG,1087,aw,3,8471,93,14,present,present,present/present,quote-exact,1.0,"03,91.13c"
PWG,1122,awwAlaka,3,13707,207,7,present,present,present/present,quote-fuzzy,0.706,"03,198.6c"
PWG,1122,awwAlaka,3,12199,,,unchecked,unchecked,unresolved-locus,locus-out-of-range,,
PWG,1147,aRImARqavya,1,2422,63,90,present,present,present/present,quote-exact,1.0,"01,57.75a"
PWG,1147,aRImARqavya,1,4329,108,8,present,present,present/present,quote-exact,1.0,"01,101.22a"
PWG,1147,aRImARqavya,2,107,4,12,present,present,present/present,quote-exact,1.0,"02,4.10c"
PWG,1169,aRqa,12,10358,285,38,present,present,present/present,quote-fuzzy,0.65,"12,187.41a"
PWG,1178,aRqaDara,12,10358,285,38,present,present,present/present,quote-fuzzy,0.65,"12,187.41a"
PWG,1211,atas,1,5909,150,5,present,present,present/present,quote-exact,1.0,"01,137.5c"
PWG,1211,atas,1,6196,157,39,present,present,present/present,quote-exact,1.0,"01,145.38c"
PWG,1215,ati,1,4173,104,4,present,present,present/present,quote-exact,1.0,"01,98.3a"
PWG,1215,ati,2,434,11,17,present,present,present/present,quote-exact,1.0,"02,11.13a"
PWG,1215,ati,7,2235,59,12,present,absent,present/absent,none,0.5,"13,6.25a"
PWG,1215,ati,3,10731,134,28,present,present,present/present,quote-exact,1.0,"03,134.28a"
PWG,1239,atiga,12,2211,59,90,present,present,present/present,quote-exact,1.0,"12,59.96a"
PWG,1282,atiTi,12,921,29,28,present,present,present/present,quote-exact,0.951,"12,29.25a"
PWG,1289,atiTin,12,917,29,24,present,present,present/present,quote-exact,1.0,"12,29.21c"
PWG,1289,atiTin,12,921,29,28,present,present,present/present,quote-exact,0.951,"12,29.25a"
PWG,1303,atidUra,1,5924,150,20,present,absent,present/absent,none,0.294,"13,12.8c"
PWG,1347,atibala,12,2213,59,92,present,present,present/present,quote-exact,0.879,"12,59.98a"
PWG,1385,atiyaSa,1,3795,95,42,present,present,present/present,quote-exact,1.0,"01,90.44A"
PWG,1517,atIva,3,10734,134,31,present,present,present/present,quote-exact,1.0,"03,134.31c"
PWG,1615,atri,3,12678,185,1,present,present,present/present,quote-exact,1.0,"03,183.1c"
PWG,1641,aTarvan,3,14215,222,8,present,present,present/present,quote-exact,1.0,"03,212.8a"
PWG,1644,aTarvaveda,2,450,11,33,present,present,present/present,quote-exact,1.0,"02,11.24a"
PWG,1644,aTarvaveda,5,548,18,7,present,present,present/present,quote-exact,1.0,"05,18.7c"
PWG,1646,aTarvaSiras,1,2882,70,39,present,present,present/present,quote-exact,0.914,"01,64.32c"
PWG,1648,aTarvANgiras,5,548,18,7,present,present,present/present,quote-exact,1.0,"05,18.7c"
PWG,1648,aTarvANgiras,5,550,18,9,present,present,present/present,quote-exact,1.0,"05,18.9a"
PWG,1650,aTarvARa,12,13259,342,100,present,present,present/present,quote-exact,1.0,"12,330.34c"
PWG,1650,aTarvARa,12,13258,342,99,present,present,present/present,quote-exact,1.0,"12,330.33c"
PWG,1713,adAsa,3,15797,272,20,present,present,present/present,quote-exact,1.0,"03,256.20a"
PWG,1740,adfSyant,1,6757,175,47,present,present,present/present,quote-exact,1.0,"01,165.43c"
PWG,1802,adri,3,13517,201,16,present,present,present/present,quote-exact,1.0,"03,192.12c"
PWG,1889,aDarottara,1,3451,84,6,present,present,present/present,quote-fuzzy,0.714,"01,79.5c"
PWG,1917,aDika,1,7144,189,17,present,present,present/present,quote-exact,1.0,"01,180.16a"
PWG,1936,aDikAra,1,7166,190,15,present,present,present/present,quote-exact,1.0,"01,181.14a"
PWG,2005,aDiraTa,5,4759,142,16,present,present,present/present,quote-exact,1.0,"05,140.16c"
PWG,2061,aDfzya,6,332,9,24,present,present,present/present,quote-exact,1.0,"06,10.23c"
PWG,2097,aDyayana,3,121,2,75,present,present,present/present,quote-exact,1.0,"03,2.71a"
PWG,2111,aDyarDaSata,1,102,1,148,present,present,present/present,quote-exact,1.0,"01,1.100e"
PWG,2157,aDyUQa,2,2332,68,82,present,present,present/present,quote-fuzzy,0.707,"02,61.74a"
PWG,2262,ananta,1,1587,,,unchecked,unchecked,unresolved-locus,locus-out-of-range,,
PWG,2447,anaSvan,1,3793,95,40,present,present,present/present,quote-exact,0.865,"01,90.42A"
PWG,2696,anu,7,2384,68,8,present,absent,present/absent,none,0.517,"12,29.84a"
PWG,2734,anukrama,1,2294,62,12,present,absent,present/absent,none,0.405,"01,1.54a"
PWG,2736,anukramaRikA,1,103,1,149,present,present,present/present,quote-exact,0.946,"01,1.101e"
PWG,2762,anugrAhya,3,4030,,,unchecked,unchecked,unresolved-locus,locus-out-of-range,,
PWG,2876,anupraveSa,1,7760,211,14,present,present,present/present,quote-exact,0.886,"01,203.13c"
PWG,2876,anupraveSa,1,7772,211,26,present,present,present/present,quote-exact,1.0,"01,203.24a"
PWG,2935,anuyAtra,3,15596,265,9,present,present,present/present,quote-exact,0.882,"03,249.9a"
PWG,2986,anuvaMSa,1,3762,95,9,present,present,present/present,quote-exact,1.0,"01,90.8C"
PWG,2986,anuvaMSa,1,3780,95,27,present,present,present/present,quote-exact,1.0,"01,90.8C"
PWG,2986,anuvaMSa,1,3783,95,30,present,present,present/present,quote-exact,1.0,"01,69.29a"
PWG,2986,anuvaMSa,1,3797,95,44,present,present,present/present,quote-exact,1.0,"01,90.46A"
PWG,2986,anuvaMSa,3,8312,87,16,present,present,present/present,quote-exact,1.0,"03,85.11e"
PWG,2987,anuvaMSya,3,8330,88,5,present,present,present/present,quote-exact,1.0,"03,86.5c"
PWG,3003,anuvAka,12,16113,,,unchecked,unchecked,unresolved-locus,locus-out-of-range,,
PWG,3003,anuvAka,12,1614,47,27,present,present,present/present,quote-exact,1.0,"12,47.17a"
PWG,3022,anuvinda,2,114,4,19,present,present,present/present,quote-exact,1.0,"02,4.16c"
PWG,3033,anuveSa,1,7772,211,26,present,present,present/present,quote-exact,1.0,"01,203.24a"
PWG,3129,anuhlAda,1,2526,65,18,present,present,present/present,quote-exact,0.889,"01,59.18c"
PWG,3309,antareRa,1,768,3,103,present,present,present/present,quote-exact,1.0,"01,3.106C"
PWG,3454,anDaka,16,140,5,8,present,present,present/present,quote-exact,0.868,"16,6.8a"
PWG,3455,anDakaGAtin,12,10356,285,36,present,present,present/present,quote-fuzzy,0.824,"12,231.14a"
PWG,3497,annada,12,10382,286,16,present,present,present/present,quote-exact,0.868,"12,275.16a"
PWG,3500,annapati,12,10382,286,16,present,present,present/present,quote-exact,0.868,"12,275.16a"
PWG,3506,annaBuj,12,10382,286,16,present,present,present/present,quote-exact,0.868,"12,275.16a"
PWG,3523,anya,1,7081,187,11,present,present,present/present,quote-exact,0.88,"01,178.11a"
PWG,3551,anyatra,1,8518,232,17,present,present,present/present,quote-exact,1.0,"01,223.17a"
PWG,3551,anyatra,3,9942,108,16,present,present,present/present,quote-exact,1.0,"03,107.16a"
PWG,3551,anyatra,3,10007,110,39,present,present,present/present,quote-exact,1.0,"03,110.17c"
PWG,3551,anyatra,1,3239,76,56,present,present,present/present,quote-exact,1.0,"01,71.44a"
PWG,3608,anyonya,4,39,2,12,present,present,present/present,quote-exact,1.0,"04,2.10a"
PWG,3608,anyonya,1,7742,210,23,present,present,present/present,quote-exact,1.0,"01,202.23a"
PWG,3874,aparAnta,1,7885,215,5,present,present,present/present,quote-exact,1.0,"01,207.5a"
PWG,3914,aparyanta,2,578,14,14,present,present,present/present,quote-exact,1.0,"02,13.13c"
PWG,3986,apasada,12,1737,49,22,present,present,present/present,quote-exact,1.0,"12,49.20c"
PWG,4084,apAntaratamas,12,13695,349,59,present,present,present/present,quote-exact,1.0,"12,337.54a"
PWG,4084,apAntaratamas,12,13704,349,68,present,present,present/present,quote-exact,1.0,"12,337.63a"
PWG,4109,apAvfta,1,1341,29,36,present,absent,present/absent,none,0.312,"01,225.12a"
PWG,4111,apAvftta,3,4052,,,unchecked,unchecked,unresolved-locus,locus-out-of-range,,
PWG,4232,apyaya,1,2517,65,9,present,present,present/present,quote-exact,1.0,"01,59.9c"
PWG,4232,apyaya,5,2569,70,10,present,present,present/present,quote-exact,1.0,"05,68.10a"
PWG,4232,apyaya,12,747,25,16,present,present,present/present,quote-exact,1.0,"12,26.16c"
PWG,4232,apyaya,12,1822,50,17,present,present,present/present,quote-exact,1.0,"12,50.17a"
PWG,4232,apyaya,12,1845,51,16,present,present,present/present,quote-exact,1.0,"12,51.16c"
PWG,4232,apyaya,12,10355,285,35,present,present,present/present,quote-fuzzy,0.781,"12,240.18c"
PWG,4247,apraja,1,4491,114,9,present,present,present/present,quote-exact,0.895,"01,106.9c"
PWG,4275,apratirUpa,12,10360,285,40,present,present,present/present,quote-fuzzy,0.811,"12,187.48c"
PWG,4343,apsaras,1,3055,74,68,present,present,present/present,quote-exact,1.0,"01,68.67a"
PWG,4343,apsaras,12,3657,98,46,present,present,present/present,quote-exact,1.0,"12,99.44c"
PWG,4400,abudDa,12,11263,303,1,present,present,present/present,quote-exact,1.0,"12,292.1c"
PWG,4400,abudDa,12,11317,304,1,present,present,present/present,quote-exact,1.0,"12,293.1a"
PWG,4400,abudDa,12,11326,304,10,present,present,present/present,quote-exact,1.0,"12,293.10a"
PWG,4400,abudDa,12,11299,303,37,present,present,present/present,quote-exact,1.0,"12,292.32a"
PWG,4471,aBi,12,228,8,27,present,present,present/present,quote-exact,0.895,"12,8.27c"
PWG,4475,aBikANkzin,3,1735,42,22,present,present,present/present,quote-exact,1.0,"03,43.22c"
PWG,4477,aBikAma,1,7807,212,29,present,present,present/present,quote-exact,1.0,"01,204.28c"
PWG,4523,aBijaya,2,994,26,1,present,present,present/present,quote-exact,1.0,"02,23.11a"
PWG,4702,aBivadana,3,1835,46,18,present,absent,present/absent,none,0.306,"02,19.31c"
PWG,4704,aBivandana,1,7565,205,11,present,present,present/present,quote-exact,1.0,"01,197.11a"
PWG,4714,aBivAdana,1,1835,,,unchecked,unchecked,unresolved-locus,locus-out-of-range,,
PWG,4768,aBizeka,3,6025,,,unchecked,unchecked,unresolved-locus,locus-out-of-range,,
PWG,4818,aBisArI,2,1027,27,18,present,present,present/present,quote-exact,1.0,"02,24.17c"
PWG,5065,amara,2,1193,32,11,present,present,present/present,quote-fuzzy,0.757,"02,29.10a"
PWG,5130,amAvAsI,1,4644,120,5,present,absent,present/absent,none,0.455,"09,37.20a"
PWG,5196,amUrtarajas,12,6194,168,4,present,present,present/present,quote-exact,1.0,"12,162.4a"
PWG,5200,amfta,1,3794,95,41,present,present,present/present,quote-exact,1.0,"01,90.43B"
PWG,5200,amfta,1,1094,18,21,present,present,present/present,quote-exact,1.0,"01,16.20a"
PWG,5265,amoGa,3,16990,302,14,present,present,present/present,quote-exact,1.0,"03,286.13a"
PWG,5286,ambarIza,13,6252,137,8,present,absent,present/absent,none,0.316,"07,51.15c"
PWG,5286,ambarIza,12,993,29,100,present,present,present/present,quote-exact,1.0,"12,29.93c"
PWG,5286,ambarIza,12,8597,238,5,present,present,present/present,quote-exact,1.0,"12,230.5c"
PWG,5291,ambazWa,2,1189,32,7,present,present,present/present,quote-exact,1.0,"02,29.6c"
PWG,5291,ambazWa,7,3399,93,62,present,present,present/present,quote-exact,1.0,"07,68.57e"
PWG,5298,ambAlikA,1,4137,102,60,present,present,present/present,quote-exact,1.0,"01,96.46e"
PWG,5300,ambikA,1,4137,102,60,present,present,present/present,quote-exact,1.0,"01,96.46e"
PWG,5329,ambumant,3,6026,,,unchecked,unchecked,unresolved-locus,locus-out-of-range,,
PWG,5482,ayi,1,6424,167,12,present,present,present/present,quote-exact,1.0,"01,155.11c"
PWG,5499,ayutanAyin,1,3773,95,20,present,present,present/present,quote-exact,1.0,"01,90.19A"
PWG,5529,ayomuKa,12,12072,321,29,present,present,present/present,quote-exact,0.857,"12,309.28c"
PWG,5535,ar,1,6978,183,1,present,present,present/present,quote-exact,1.0,"01,174.1a"
PWG,5563,araRya,1,3022,74,35,present,present,present/present,quote-exact,1.0,"01,68.34a"
PWG,5610,arantuka,3,7078,,,unchecked,unchecked,unresolved-locus,locus-out-of-range,,
PWG,5635,arAjaka,12,2497,67,10,present,present,present/present,quote-fuzzy,0.714,"05,34.34c"
PWG,5700,ariha,1,3771,95,18,present,present,present/present,quote-fuzzy,0.722,"01,90.17B"
PWG,5770,arka,1,716,3,51,present,present,present/present,quote-exact,1.0,"01,3.52B"
PWG,5779,arkapatra,1,715,3,50,present,present,present/present,quote-exact,1.0,"01,3.51A"
PWG,5813,arGa,3,16696,,,unchecked,unchecked,unresolved-locus,locus-out-of-range,,
PWG,5818,arc,1,6453,167,41,present,present,present/present,quote-exact,1.0,"01,155.39a"
PWG,5818,arc,2,1379,38,11,present,present,present/present,quote-exact,1.0,"02,35.11a"
PWG,5818,arc,3,169,3,39,present,absent,present/absent,none,0.455,"01,206.1c"
PWG,5818,arc,3,988,26,25,present,present,present/present,quote-exact,1.0,"01,48.10a"
PWG,5818,arc,3,8018,84,40,present,present,present/present,quote-exact,0.889,"03,82.36c"
PWG,5818,arc,2,1383,38,15,present,present,present/present,quote-exact,0.923,"02,35.14c"
PWG,5818,arc,1,6533,170,38,present,present,present/present,quote-exact,1.0,"01,158.35a"
PWG,5818,arc,2,517,13,4,present,present,present/present,quote-exact,1.0,"02,12.4a"
PWG,5818,arc,2,1408,39,6,present,present,present/present,quote-exact,1.0,"02,36.6a"
PWG,5818,arc,3,2762,70,19,present,present,present/present,quote-exact,1.0,"03,68.17c"
PWG,5818,arc,1,3203,76,20,present,present,present/present,quote-exact,1.0,"01,71.18a"
PWG,5818,arc,3,169,3,39,present,absent,present/absent,none,0.455,"01,206.1c"
PWG,5818,arc,2,1390,38,22,present,present,present/present,quote-exact,1.0,"02,35.21a"
PWG,5818,arc,3,5045,82,103,present,present,present/present,quote-exact,1.0,"03,80.111a"
PWG,5818,arc,3,8169,85,27,present,present,present/present,quote-exact,1.0,"03,83.25a"
PWG,5818,arc,2,517,13,4,present,present,present/present,quote-exact,1.0,"02,12.4a"
PWG,5818,arc,3,941,24,23,present,present,present/present,quote-exact,1.0,"03,25.23a"
PWG,5818,arc,1,7211,191,13,present,present,present/present,quote-exact,1.0,"01,182.12c"
PWG,5818,arc,3,10190,115,5,present,present,present/present,quote-exact,1.0,"03,115.5a"
PWG,5818,arc,3,11090,145,28,present,present,present/present,quote-exact,1.0,"03,145.25a"
PWG,5826,arcana,3,10190,115,5,present,present,present/present,quote-exact,1.0,"03,115.5a"
PWG,5826,arcana,3,11090,145,28,present,present,present/present,quote-exact,1.0,"03,145.25a"
PWG,5841,arcya,1,3203,76,20,present,present,present/present,quote-exact,1.0,"01,71.18a"
PWG,5842,arC,4,1059,32,24,present,present,present/present,quote-exact,1.0,"04,31.19a"
PWG,5842,arC,3,11716,160,56,present,present,present/present,quote-exact,1.0,"03,157.49a"
PWG,5842,arC,3,16375,285,12,present,present,present/present,quote-exact,1.0,"03,269.11a"
PWG,5842,arC,4,1056,32,21,present,present,present/present,quote-exact,1.0,"04,31.16a"
PWG,5842,arC,3,2166,56,7,present,present,present/present,quote-exact,1.0,"03,53.7a"
PWG,5842,arC,3,84,2,38,present,present,present/present,quote-exact,1.0,"03,2.37a"
PWG,5842,arC,4,907,27,6,present,present,present/present,quote-exact,1.0,"04,26.6a"
PWG,5842,arC,1,3161,75,36,present,present,present/present,quote-exact,1.0,"01,70.33a"
PWG,5842,arC,3,1159,30,43,present,present,present/present,quote-exact,1.0,"03,31.42a"
PWG,5842,arC,3,11875,163,35,present,present,present/present,quote-exact,0.886,"03,160.30a"
PWG,5842,arC,3,11726,160,66,present,present,present/present,quote-exact,1.0,"03,157.59a"
PWG,5842,arC,3,17226,311,7,present,absent,present/absent,none,0.417,"07,172.50c"
PWG,5844,arj,1,8134,222,2,present,present,present/present,quote-exact,1.0,"01,214.2a"
PWG,5844,arj,2,1222,33,15,present,present,present/present,quote-exact,1.0,"01,213.51c"
PWG,5852,arjuna,1,3814,95,61,present,present,present/present,quote-exact,1.0,"01,90.67B"
PWG,5852,arjuna,4,1375,44,9,present,present,present/present,quote-exact,1.0,"04,39.8c"
PWG,5852,arjuna,12,1750,49,35,present,present,present/present,quote-exact,1.0,"12,49.30a"
PWG,5903,arTay,3,12681,185,4,present,present,present/present,quote-exact,1.0,"03,183.3a"
PWG,5903,arTay,3,16990,302,14,present,present,present/present,quote-exact,1.0,"03,286.13a"
PWG,5903,arTay,1,8127,221,84,present,present,present/present,quote-exact,1.0,"01,213.77c"
PWG,5903,arTay,3,10916,140,25,present,present,present/present,quote-exact,1.0,"03,141.25c"
PWG,5903,arTay,3,16989,302,13,present,present,present/present,quote-exact,1.0,"03,286.12a"
PWG,5903,arTay,3,1037,28,9,present,present,present/present,quote-exact,1.0,"03,29.9a"
PWG,5903,arTay,3,14259,223,14,present,present,present/present,quote-exact,1.0,"03,213.13e"
PWG,5903,arTay,3,2600,65,69,present,present,present/present,quote-exact,1.0,"03,62.39a"
PWG,5903,arTay,1,5126,130,59,present,absent,present/absent,none,0.452,"12,3.33a"
PWG,5903,arTay,3,12334,175,12,present,present,present/present,quote-fuzzy,0.774,"03,172.12a"
